indication,hook_archetype,awareness_stage,ads,pct
laxity_tightening,bold_claim,problem_aware,0,0.0
laxity_tightening,problem_callout,unaware,0,0.0
laxity_tightening,question,unaware,0,0.0
laxity_tightening,question,solution_aware,0,0.0
laxity_tightening,direct_offer,unaware,0,0.0
laxity_tightening,flat_spec,unaware,0,0.0
laxity_tightening,flat_spec,most_aware,0,0.0
laxity_tightening,social_proof,unaware,0,0.0
laxity_tightening,social_proof,problem_aware,0,0.0
laxity_tightening,curiosity_tease,problem_aware,0,0.0
laxity_tightening,curiosity_tease,solution_aware,0,0.0
laxity_tightening,curiosity_tease,most_aware,0,0.0
laxity_tightening,before_after_reveal,unaware,0,0.0
laxity_tightening,before_after_reveal,problem_aware,0,0.0
laxity_tightening,before_after_reveal,solution_aware,0,0.0
laxity_tightening,before_after_reveal,most_aware,0,0.0
general_glow,bold_claim,unaware,0,0.0
general_glow,bold_claim,problem_aware,0,0.0
general_glow,bold_claim,most_aware,0,0.0
general_glow,problem_callout,unaware,0,0.0
general_glow,problem_callout,problem_aware,0,0.0
general_glow,problem_callout,solution_aware,0,0.0
general_glow,problem_callout,most_aware,0,0.0
general_glow,question,problem_aware,0,0.0
general_glow,direct_offer,unaware,0,0.0
general_glow,direct_offer,problem_aware,0,0.0
general_glow,direct_offer,solution_aware,0,0.0
general_glow,flat_spec,problem_aware,0,0.0
general_glow,flat_spec,most_aware,0,0.0
general_glow,social_proof,unaware,0,0.0
general_glow,social_proof,problem_aware,0,0.0
general_glow,social_proof,most_aware,0,0.0
general_glow,curiosity_tease,unaware,0,0.0
general_glow,curiosity_tease,problem_aware,0,0.0
general_glow,before_after_reveal,problem_aware,0,0.0
general_glow,before_after_reveal,solution_aware,0,0.0
general_glow,before_after_reveal,most_aware,0,0.0
