advertiser,type,ads,dominant_hook,dominant_format,dominant_indication,dominant_awareness,offer_type,pages_tested,mismatch_rate_pct,break_rate_pct,claim_risk_rate_pct,biggest_deviation,longest_days,sample_ad_ids
Infusion Wellness Center,single_location,2,bold_claim (100%),offer_promo (100%),pigmentation_sun_damage (100%),most_aware (100%),first_treatment_price (100%),2,0,0,100,"[""offer"", ""first_treatment_price"", 100, 92]",135,950366421215495|1381660713847999
VOXY,single_location,2,direct_offer (100%),offer_promo (100%),laxity_tightening (100%),most_aware (100%),event_flash_sale (100%),2,0,0,0,"[""offer"", ""event_flash_sale"", 100, 91]",191,1664077081457077|856222507446088
Revive Med Spa,single_location,2,direct_offer (100%),offer_promo (100%),general_glow (100%),most_aware (100%),package_bundle (100%),2,0,0,0,"[""cta_intent"", ""free_consult"", 100, 97]",51,1345301294425579|1704381064187035
Rejuve,single_location,2,problem_callout (50%),problem_solution (50%),acne_scarring (50%),product_aware (50%),no_offer (50%),0,,,100,"[""cta_intent"", ""lead_capture"", 100, 55]",77,1944826279554371|28155295177455771
PURE Medical Spa Idaho,single_location,2,bold_claim (100%),problem_solution (100%),texture_pores (100%),product_aware (100%),dollar_off (100%),2,0,0,0,"[""downtime_handling"", ""downtime_disclosed"", 100, 98]",74,1038211768783076|1055982090222856
Dr. Johnny Franco,single_location,2,curiosity_tease (50%),educational_howto (100%),general_glow (50%),product_aware (100%),no_offer (100%),0,,,0,"[""format"", ""educational_howto"", 100, 92]",107,1465344868243798|773462059121571
Evolve Aesthetics and Wellness 30A,single_location,2,problem_callout (50%),offer_promo (100%),pigmentation_sun_damage (50%),solution_aware (50%),event_flash_sale (100%),0,,,50,"[""offer"", ""event_flash_sale"", 100, 91]",87,1712450723109356|1478799024060713
"Boutique Wellness NC, llc.",single_location,2,direct_offer (100%),offer_promo (100%),pigmentation_sun_damage (100%),product_aware (100%),percent_off (100%),2,0,0,100,"[""indication"", ""pigmentation_sun_damage"", 100, 90]",53,1333663208978378|1788907285614892
Lunabella Aesthetics,single_location,2,flat_spec (50%),educational_howto (50%),fine_lines_wrinkles (50%),product_aware (100%),no_offer (100%),0,,,0,"[""offer"", ""no_offer"", 100, 58]",23,1060851976913160|1396175315278785
Kryptonite Laser Professionals,single_location,2,flat_spec (50%),catalog_generic (100%),unspecified (100%),solution_aware (100%),no_offer (50%),2,0,0,0,"[""cta_intent"", ""call_now"", 100, 99]",274,806235865727237|1556673788903858
USA Aesthetics,single_location,2,bold_claim (100%),offer_promo (100%),pigmentation_sun_damage (100%),solution_aware (100%),percent_off (100%),2,0,0,100,"[""indication"", ""pigmentation_sun_damage"", 100, 90]",66,1579142766885351|1391054132948098
Ageless Living,single_location,2,problem_callout (100%),problem_solution (100%),fine_lines_wrinkles (100%),solution_aware (100%),percent_off (100%),2,0,0,0,"[""cta_intent"", ""free_consult"", 100, 97]",31,2062397734645749|1055954277176351
Philadelphia Medical Group,single_location,2,direct_offer (50%),offer_promo (100%),fine_lines_wrinkles (50%),most_aware (50%),gift_with_treatment (100%),2,0,0,0,"[""offer"", ""gift_with_treatment"", 100, 96]",38,2404192646736216|1757506775563745
Eterna Beauty & Wellness,single_location,2,problem_callout (50%),comparison_switch (50%),laxity_tightening (100%),product_aware (100%),no_offer (50%),1,0,0,50,"[""cta_intent"", ""learn_educate"", 100, 80]",45,1360776098854936|1931329864493950
WorldAesthetix,device_manufacturer,2,bold_claim (100%),product_announcement (100%),unspecified (100%),product_aware (100%),no_offer (100%),2,0,0,0,"[""format"", ""product_announcement"", 100, 93]",127,1644774870160442|1645628503212815
Doctor Sakarya,single_location,2,before_after_reveal (100%),before_after_showcase (100%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,100,"[""hook_archetype"", ""before_after_reveal"", 100, 98]",128,1468229094787974|1947140969306027
Kleydman Dermatology Lasers & Aesthetics,single_location,2,flat_spec (50%),provider_authority (50%),pigmentation_sun_damage (50%),product_aware (100%),no_offer (100%),0,,,0,"[""driver"", ""trust_safety"", 100, 90]",63,2311959839609959|1046450724783719
Mineral Medspa,single_location,2,curiosity_tease (50%),testimonial_ugc (50%),unspecified (50%),product_aware (50%),no_offer (50%),0,,,50,"[""modality"", ""ablative_co2_erbium"", 100, 82]",17,4517763415108307|1380639063693156
Infinity Medspa of Glastonbury,single_location,2,question (100%),offer_promo (100%),laxity_tightening (50%),product_aware (50%),percent_off (100%),0,,,0,"[""hook_archetype"", ""question"", 100, 92]",16,1289086646546609|1599001445258299
Renove Medical Spa,single_location,2,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),product_aware (100%),dollar_off (100%),2,0,0,0,"[""indication"", ""fine_lines_wrinkles"", 100, 89]",100,27363720039929895|993403313446428
